,count,zip
0,1,7674.0
1,1,7676.0
2,1,80220.0
3,1,83308.0
4,1,85706.0
5,1,88435.0
6,5,90001.0
7,7,90002.0
8,3,90003.0
9,13,90004.0
10,3,90005.0
11,22,90006.0
12,11,90007.0
13,6,90008.0
14,16,90010.0
15,3,90011.0
16,36,90012.0
17,10,90013.0
18,9,90014.0
19,11,90015.0
20,12,90016.0
21,15,90017.0
22,2,90018.0
23,16,90019.0
24,10,90020.0
25,3,90021.0
26,11,90022.0
27,6,90023.0
28,23,90024.0
29,22,90025.0
30,11,90026.0
31,17,90027.0
32,26,90028.0
33,10,90029.0
34,11,90031.0
35,10,90032.0
36,11,90033.0
37,13,90034.0
38,14,90035.0
39,16,90036.0
40,10,90037.0
41,15,90038.0
42,6,90039.0
43,13,90040.0
44,11,90041.0
45,7,90042.0
46,11,90043.0
47,5,90044.0
48,27,90045.0
49,10,90046.0
50,6,90047.0
51,4,90048.0
52,5,90049.0
53,1,90052.0
54,6,90057.0
55,3,90058.0
56,3,90059.0
57,4,90061.0
58,3,90062.0
59,5,90063.0
60,14,90064.0
61,8,90065.0
62,11,90066.0
63,5,90067.0
64,2,90068.0
65,10,90069.0
66,3,90071.0
67,1,90073.0
68,1,90077.0
69,4,90089.0
70,1,90094.0
71,15,90201.0
72,6,90210.0
73,2,90211.0
74,4,90212.0
75,16,90220.0
76,10,90221.0
77,5,90222.0
78,16,90230.0
79,14,90232.0
80,8,90240.0
81,17,90241.0
82,14,90242.0
83,29,90245.0
84,16,90247.0
85,7,90248.0
86,6,90249.0
87,27,90250.0
88,8,90254.0
89,15,90255.0
90,10,90260.0
91,1,90261.0
92,12,90262.0
93,2,90263.0
94,3,90265.0
95,16,90266.0
96,8,90270.0
97,5,90272.0
98,5,90274.0
99,7,90275.0
100,17,90277.0
101,14,90278.0
102,25,90280.0
103,7,90291.0
104,10,90292.0
105,1,90293.0
106,20,90301.0
107,5,90302.0
108,12,90303.0
109,6,90304.0
110,3,90305.0
111,9,90401.0
112,7,90403.0
113,10,90404.0
114,6,90405.0
115,22,90501.0
116,1,90502.0
117,19,90503.0
118,13,90504.0
119,31,90505.0
120,1,90506.0
121,1,90510.0
122,6,90601.0
123,7,90602.0
124,5,90603.0
125,10,90604.0
126,8,90605.0
127,9,90606.0
128,21,90620.0
129,10,90621.0
130,2,90622.0
131,7,90623.0
132,17,90630.0
133,31,90631.0
134,13,90638.0
135,1,90639.0
136,19,90640.0
137,35,90650.0
138,1,90651.0
139,18,90660.0
140,11,90670.0
141,13,90680.0
142,12,90701.0
143,15,90703.0
144,2,90704.0
145,23,90706.0
146,7,90710.0
147,18,90712.0
148,18,90713.0
149,4,90715.0
150,1,90716.0
151,8,90717.0
152,20,90720.0
153,15,90723.0
154,22,90731.0
155,8,90732.0
156,17,90740.0
157,3,90742.0
158,13,90744.0
159,12,90745.0
160,8,90746.0
161,3,90755.0
162,20,90802.0
163,15,90803.0
164,18,90804.0
165,19,90805.0
166,15,90806.0
167,17,90807.0
168,12,90808.0
169,5,90810.0
170,12,90813.0
171,4,90814.0
172,17,90815.0
173,1,90822.0
174,1,90840.0
175,4,91001.0
176,19,91006.0
177,9,91007.0
178,12,91010.0
179,7,91011.0
180,10,91016.0
181,3,91020.0
182,1,91024.0
183,7,91030.0
184,7,91040.0
185,3,91042.0
186,1,91046.0
187,1,91061.0
188,12,91101.0
189,3,91103.0
190,5,91104.0
191,10,91105.0
192,8,91106.0
193,18,91107.0
194,6,91108.0
195,1,91124.0
196,2,91125.0
197,1,91188.0
198,10,91201.0
199,5,91202.0
200,9,91203.0
201,4,91204.0
202,14,91205.0
203,4,91206.0
204,2,91207.0
205,3,91208.0
206,1,91210.0
207,7,91214.0
208,8,91301.0
209,4,91302.0
210,10,91303.0
211,9,91304.0
212,11,91306.0
213,5,91307.0
214,15,91311.0
215,10,91316.0
216,12,91320.0
217,7,91321.0
218,18,91324.0
219,11,91325.0
220,7,91326.0
221,26,91331.0
222,30,91335.0
223,9,91340.0
224,13,91342.0
225,13,91343.0
226,14,91344.0
227,10,91345.0
228,1,91346.0
