,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
0,80220,"33,529","6,397","16,421","$360,200",5.24,0.00,"15,218","$62,989","16,504",49&percnt;,"17,025",51&percnt;,"24,161",72.1&percnt;,"3,927",11.7&percnt;,276,0.8&percnt;,"1,884",5.6&percnt;,24,0.1&percnt;,"1,986",5.9&percnt;,"1,271",3.8&percnt;,"5,622",37&percnt;,"2,036",13&percnt;,"5,761",38&percnt;,"1,799",12&percnt;,"11,254",74&percnt;,"3,964",26&percnt;,"32,883",98.1&percnt;,0,0.0&percnt;,34,0.1&percnt;,46,0.1&percnt;,0,0.0&percnt;,531,1.6&percnt;,0,0.0&percnt;,35,0.1&percnt;,"6,956",42&percnt;,"1,888",11&percnt;,"6,374",39&percnt;,"1,203",7&percnt;,500,42&percnt;,14,1&percnt;,286,24&percnt;,42,3&percnt;,80,7&percnt;,0,0&percnt;,281,23&percnt;,222,4&percnt;,"2,019",32&percnt;,"2,771",44&percnt;,"1,303",21&percnt;,"13,351",47&percnt;,"7,897",28&percnt;,"6,909",25&percnt;,"13,351",47&percnt;,"7,897",28&percnt;,"6,909",25&percnt;,"15,379",80.7&percnt;,"1,011",5.3&percnt;,0,0.0&percnt;,37,0.2&percnt;,"1,050",5.5&percnt;,"1,581",8.3&percnt;,684,6&percnt;,"3,980",34&percnt;,573,5&percnt;,"3,716",31&percnt;,"1,438",12&percnt;,"1,009",9&percnt;,459,4&percnt;,"4,046",64.0&percnt;,"1,637",25.9&percnt;,638,10.1&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,85706,"55,209","4,407","18,298","$83,100",12.53,0.00,"16,505","$29,814","26,773",48&percnt;,"28,436",52&percnt;,"30,651",55.5&percnt;,"1,513",2.7&percnt;,"2,105",3.8&percnt;,465,0.8&percnt;,52,0.1&percnt;,"18,475",33.5&percnt;,"1,948",3.5&percnt;,"7,078",43&percnt;,"5,750",35&percnt;,"2,811",17&percnt;,866,5&percnt;,"7,775",47&percnt;,"8,730",53&percnt;,"55,158",99.9&percnt;,40,0.1&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,11,0.0&percnt;,"6,776",37&percnt;,"3,048",17&percnt;,"6,681",37&percnt;,"1,793",10&percnt;,986,55&percnt;,37,2&percnt;,298,17&percnt;,38,2&percnt;,60,3&percnt;,0,0&percnt;,374,21&percnt;,59,1&percnt;,"1,172",17&percnt;,"2,664",40&percnt;,"2,847",42&percnt;,"12,945",33&percnt;,"10,798",27&percnt;,"15,965",40&percnt;,"12,945",33&percnt;,"10,798",27&percnt;,"15,965",40&percnt;,"17,479",86.3&percnt;,687,3.4&percnt;,0,0.0&percnt;,46,0.2&percnt;,"1,145",5.7&percnt;,896,4.4&percnt;,"4,948",34.7&percnt;,"7,282",51.1&percnt;,839,5.9&percnt;,854,6.0&percnt;,261,1.8&percnt;,22,0.2&percnt;,34,0.2&percnt;,"13,476",83.0&percnt;,516,3.2&percnt;,"2,248",13.8&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,88435,"3,559",2,"1,633","$88,900","1,826.31",1.07,"1,287","$29,091","2,071",58&percnt;,"1,488",42&percnt;,"2,520",71&percnt;,68,2&percnt;,66,2&percnt;,53,1&percnt;,0,0&percnt;,731,21&percnt;,121,3&percnt;,514,40&percnt;,313,24&percnt;,393,31&percnt;,67,5&percnt;,882,69&percnt;,405,31&percnt;,"2,991",84.0&percnt;,566,15.9&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,2,0.1&percnt;,395,24&percnt;,429,26&percnt;,463,28&percnt;,346,21&percnt;,58,16.8&percnt;,1,0.3&percnt;,17,4.9&percnt;,2,0.6&percnt;,55,15.9&percnt;,6,1.7&percnt;,207,59.8&percnt;,5,2&percnt;,45,22&percnt;,116,56&percnt;,42,20&percnt;,813,29&percnt;,675,24&percnt;,"1,330",47&percnt;,813,29&percnt;,675,24&percnt;,"1,330",47&percnt;,941,90.8&percnt;,4,0.4&percnt;,0,0.0&percnt;,0,0.0&percnt;,47,4.5&percnt;,44,4.2&percnt;,322,22&percnt;,929,63&percnt;,80,5&percnt;,96,6&percnt;,51,3&percnt;,0,0&percnt;,0,0&percnt;,641,85.6&percnt;,27,3.6&percnt;,81,10.8&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,90001,"57,110","16,306","13,788","$249,600",3.50,0.00,"12,971","$35,097","28,468",50&percnt;,"28,642",50&percnt;,"20,509",35.9&percnt;,"6,133",10.7&percnt;,410,0.7&percnt;,145,0.3&percnt;,27,0.0&percnt;,"27,761",48.6&percnt;,"2,125",3.7&percnt;,"6,293",49&percnt;,"4,918",38&percnt;,"1,244",10&percnt;,516,4&percnt;,"4,572",35&percnt;,"8,399",65&percnt;,"57,057",99.9&percnt;,0,0.0&percnt;,6,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,47,0.1&percnt;,"3,658",27&percnt;,878,6&percnt;,"8,435",61&percnt;,817,6&percnt;,399,49&percnt;,26,3&percnt;,139,17&percnt;,13,2&percnt;,22,3&percnt;,0,0&percnt;,218,27&percnt;,"1,412",17&percnt;,"2,011",24&percnt;,"3,352",40&percnt;,"1,625",19&percnt;,"14,609",38&percnt;,"8,647",22&percnt;,"15,331",40&percnt;,"14,609",38&percnt;,"8,647",22&percnt;,"15,331",40&percnt;,"15,888",77.9&percnt;,"3,357",16.5&percnt;,0,0.0&percnt;,10,0.0&percnt;,756,3.7&percnt;,380,1.9&percnt;,"9,143",63.2&percnt;,"4,564",31.5&percnt;,371,2.6&percnt;,382,2.6&percnt;,15,0.1&percnt;,0,0.0&percnt;,0,0.0&percnt;,"13,084",86.3&percnt;,414,2.7&percnt;,"1,655",10.9&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,90002,"51,223","16,728","12,598","$216,100",3.06,0.00,"11,731","$31,258","24,876",49&percnt;,"26,347",51&percnt;,"14,392",28.1&percnt;,"13,101",25.6&percnt;,371,0.7&percnt;,148,0.3&percnt;,33,0.1&percnt;,"21,239",41.5&percnt;,"1,939",3.8&percnt;,"4,723",40&percnt;,"5,056",43&percnt;,"1,548",13&percnt;,404,3&percnt;,"4,324",37&percnt;,"7,407",63&percnt;,"51,091",99.7&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,132,0.3&percnt;,"3,922",31&percnt;,762,6&percnt;,"7,047",56&percnt;,867,7&percnt;,428,49&percnt;,11,1&percnt;,182,21&percnt;,26,3&percnt;,14,2&percnt;,0,0&percnt;,206,24&percnt;,"1,055",14&percnt;,"1,493",20&percnt;,"2,575",34&percnt;,"2,362",32&percnt;,"11,134",33&percnt;,"7,428",22&percnt;,"15,385",45&percnt;,"11,134",33&percnt;,"7,428",22&percnt;,"15,385",45&percnt;,"13,100",82.1&percnt;,"1,896",11.9&percnt;,12,0.1&percnt;,2,0.0&percnt;,379,2.4&percnt;,565,3.5&percnt;,"5,956",50.2&percnt;,"5,156",43.4&percnt;,291,2.5&percnt;,345,2.9&percnt;,87,0.7&percnt;,1,0.0&percnt;,32,0.3&percnt;,"13,056",85.4&percnt;,544,3.6&percnt;,"1,686",11.0&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,90003,"66,266","18,660","17,127","$231,700",3.55,0.00,"15,642","$29,686","32,631",49&percnt;,"33,635",51&percnt;,"19,878",30.0&percnt;,"16,181",24.4&percnt;,516,0.8&percnt;,149,0.2&percnt;,58,0.1&percnt;,"26,968",40.7&percnt;,"2,516",3.8&percnt;,"6,534",42&percnt;,"6,452",41&percnt;,"2,059",13&percnt;,597,4&percnt;,"5,786",37&percnt;,"9,856",63&percnt;,"65,965",99.5&percnt;,0,0.0&percnt;,6,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,295,0.4&percnt;,"4,332",25&percnt;,805,5&percnt;,"10,505",61&percnt;,"1,485",9&percnt;,772,52&percnt;,39,3&percnt;,219,15&percnt;,28,2&percnt;,18,1&percnt;,0,0&percnt;,409,28&percnt;,"1,182",11&percnt;,"2,568",23&percnt;,"4,531",41&percnt;,"2,769",25&percnt;,"15,116",33&percnt;,"10,064",22&percnt;,"20,271",45&percnt;,"15,116",33&percnt;,"10,064",22&percnt;,"20,271",45&percnt;,"16,694",76.2&percnt;,"3,526",16.1&percnt;,27,0.1&percnt;,75,0.3&percnt;,701,3.2&percnt;,881,4.0&percnt;,"9,138",55.7&percnt;,"6,087",37.1&percnt;,405,2.5&percnt;,625,3.8&percnt;,94,0.6&percnt;,25,0.2&percnt;,20,0.1&percnt;,"16,869",86.3&percnt;,494,2.5&percnt;,"2,178",11.1&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90004,"62,180","20,400","24,278","$776,300",3.05,0.00,"22,547","$37,976","31,302",50&percnt;,"30,878",50&percnt;,"23,205",37.3&percnt;,"2,187",3.5&percnt;,497,0.8&percnt;,"16,704",26.9&percnt;,55,0.1&percnt;,"16,754",26.9&percnt;,"2,778",4.5&percnt;,"8,471",38&percnt;,"5,270",23&percnt;,"6,252",28&percnt;,"2,554",11&percnt;,"15,095",67&percnt;,"7,452",33&percnt;,"61,453",98.8&percnt;,0,0.0&percnt;,0,0.0&percnt;,5,0.0&percnt;,11,0.0&percnt;,1,0.0&percnt;,0,0.0&percnt;,710,1.1&percnt;,"3,120",13&percnt;,955,4&percnt;,"18,472",76&percnt;,"1,731",7&percnt;,"1,195",69&percnt;,65,4&percnt;,63,4&percnt;,20,1&percnt;,110,6&percnt;,0,0&percnt;,278,16&percnt;,"4,167",22&percnt;,"8,591",45&percnt;,"5,068",27&percnt;,"1,260",7&percnt;,"21,980",43&percnt;,"13,074",25&percnt;,"16,600",32&percnt;,"21,980",43&percnt;,"13,074",25&percnt;,"16,600",32&percnt;,"21,064",66.3&percnt;,"7,510",23.6&percnt;,13,0.0&percnt;,57,0.2&percnt;,"1,098",3.5&percnt;,"2,046",6.4&percnt;,"6,243",28&percnt;,"7,289",33&percnt;,"1,294",6&percnt;,"5,216",24&percnt;,"1,200",5&percnt;,543,2&percnt;,237,1&percnt;,"7,883",75.7&percnt;,"1,599",15.4&percnt;,932,8.9&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,90005,"37,681","34,761","16,345","$633,600",1.08,0.00,"15,044","$31,893","19,299",51&percnt;,"18,382",49&percnt;,"10,953",29.1&percnt;,"2,007",5.3&percnt;,317,0.8&percnt;,"12,740",33.8&percnt;,40,0.1&percnt;,"9,940",26.4&percnt;,"1,684",4.5&percnt;,"5,034",33&percnt;,"3,366",22&percnt;,"5,005",33&percnt;,"1,639",11&percnt;,"10,757",72&percnt;,"4,287",28&percnt;,"37,537",99.6&percnt;,8,0.0&percnt;,2,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,14,0.0&percnt;,0,0.0&percnt;,120,0.3&percnt;,"1,056",6&percnt;,212,1&percnt;,"13,776",84&percnt;,"1,301",8&percnt;,"1,024",78.7&percnt;,33,2.5&percnt;,46,3.5&percnt;,7,0.5&percnt;,29,2.2&percnt;,0,0.0&percnt;,162,12.5&percnt;,"4,823",34&percnt;,"5,994",42&percnt;,"2,868",20&percnt;,506,4&percnt;,"15,295",48&percnt;,"6,453",20&percnt;,"10,227",32&percnt;,"15,295",48&percnt;,"6,453",20&percnt;,"10,227",32&percnt;,"10,627",52.5&percnt;,"6,971",34.4&percnt;,66,0.3&percnt;,26,0.1&percnt;,"1,361",6.7&percnt;,"1,185",5.9&percnt;,"4,703",33.9&percnt;,"5,076",36.6&percnt;,528,3.8&percnt;,"2,699",19.5&percnt;,545,3.9&percnt;,242,1.7&percnt;,62,0.4&percnt;,"5,653",82.3&percnt;,569,8.3&percnt;,650,9.5&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,90006,"59,185","30,829","20,332","$392,100",1.92,0.00,"18,617","$30,961","30,254",51&percnt;,"28,931",49&percnt;,"18,869",31.9&percnt;,"2,179",3.7&percnt;,626,1.1&percnt;,"10,934",18.5&percnt;,46,0.1&percnt;,"23,757",40.1&percnt;,"2,774",4.7&percnt;,"7,205",39&percnt;,"5,504",30&percnt;,"4,197",23&percnt;,"1,711",9&percnt;,"11,064",59&percnt;,"7,553",41&percnt;,"58,297",98.5&percnt;,0,0.0&percnt;,0,0.0&percnt;,456,0.8&percnt;,0,0.0&percnt;,17,0.0&percnt;,0,0.0&percnt;,415,0.7&percnt;,"1,328",7&percnt;,352,2&percnt;,"16,937",83&percnt;,"1,715",8&percnt;,"1,141",66.5&percnt;,46,2.7&percnt;,192,11.2&percnt;,13,0.8&percnt;,40,2.3&percnt;,0,0.0&percnt;,283,16.5&percnt;,"4,573",26&percnt;,"7,176",42&percnt;,"4,333",25&percnt;,"1,192",7&percnt;,"21,418",45&percnt;,"8,528",18&percnt;,"17,128",36&percnt;,"21,418",45&percnt;,"8,528",18&percnt;,"17,128",36&percnt;,"15,554",54.5&percnt;,"9,806",34.4&percnt;,103,0.4&percnt;,8,0.0&percnt;,"1,856",6.5&percnt;,"1,196",4.2&percnt;,"9,312",46.7&percnt;,"7,192",36.1&percnt;,586,2.9&percnt;,"2,199",11.0&percnt;,475,2.4&percnt;,115,0.6&percnt;,40,0.2&percnt;,"10,156",87.2&percnt;,426,3.7&percnt;,"1,063",9.1&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,90007,"40,920","16,593","12,762","$388,900",2.47,0.00,"11,944","$22,420","20,915",51&percnt;,"20,005",49&percnt;,"15,849",38.7&percnt;,"4,547",11.1&percnt;,274,0.7&percnt;,"6,317",15.4&percnt;,44,0.1&percnt;,"11,710",28.6&percnt;,"2,179",5.3&percnt;,"3,042",25&percnt;,"2,749",23&percnt;,"3,301",28&percnt;,"2,852",24&percnt;,"8,294",69&percnt;,"3,650",31&percnt;,"35,846",87.6&percnt;,135,0.3&percnt;,22,0.1&percnt;,0,0.0&percnt;,0,0.0&percnt;,"4,575",11.2&percnt;,0,0.0&percnt;,342,0.8&percnt;,"1,003",8&percnt;,289,2&percnt;,"10,652",83&percnt;,818,6&percnt;,547,67&percnt;,40,5&percnt;,35,4&percnt;,15,2&percnt;,46,6&percnt;,0,0&percnt;,135,17&percnt;,"2,397",24&percnt;,"3,329",33&percnt;,"2,624",26&percnt;,"1,616",16&percnt;,"8,409",23&percnt;,"12,532",34&percnt;,"16,012",43&percnt;,"8,409",23&percnt;,"12,532",34&percnt;,"16,012",43&percnt;,"8,648",51.8&percnt;,"2,906",17.4&percnt;,0,0.0&percnt;,32,0.2&percnt;,"4,527",27.1&percnt;,566,3.4&percnt;,"3,781",39&percnt;,"3,496",36&percnt;,335,3&percnt;,"1,362",14&percnt;,553,6&percnt;,119,1&percnt;,123,1&percnt;,"5,168",87.9&percnt;,344,5.9&percnt;,368,6.3&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
