,token,lemma,basic_pos_tag,advanced_pos_tag,gender,singularity,person,derivation
0,पालगी,पालगी,n,NN,m,sg,3,0
1,भईया,भईया,n,NN,m,sg,3,0
2,कहते,कह,v,VM,m,sg,any,ता_हो+या
3,हुए,हो,v,VAUX,m,sg,any,या
4,धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0
5,पांव,पाँव,n,NN,m,pl,3,0
6,छूआ,छू,v,VM,m,sg,3,या
7,और,और,avy,CC,-,-,-,-
8,सामने,सामने,nst,NST,m,sg,3,-
9,खड़े,खडा,adj,JJ,m,sg,-,-
10,होकर,हो,v,VM,any,any,any,कर
11,भीखनरायन,भीखनरायन,n,NNP,m,sg,3,0_का
12,की,का,psp,PSP,f,sg,-,-
13,दीन,दीन,adj,NNC,any,any,-,-
14,-,-,punc,SYM,-,-,-,-
15,दशा,दशा,n,NN,f,sg,3,0_को
16,को,को,psp,PSP,-,-,-,-
17,चकित,चकित,adj,JJ,any,any,-,-
18,होकर,हो,v,VM,any,any,any,कर
19,निहारने,निहार,v,VM,any,sg,any,ना_लगा+या
20,लगा,लगा,v,VAUX,m,sg,any,या
21,।,।,punc,SYM,-,-,-,-
22,।,।,punc,SYM,-,-,-,-
23,खुस,खुस,adj,JJ,any,any,-,-
24,रह,रह,v,VM,any,sg,2,0
25,धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0
26,।,।,punc,SYM,-,-,-,-
27,।,।,punc,SYM,-,-,-,-
28,कैसे,कैसा,pn,WQ,-,-,-,-
29,हो,है,v,VM,any,any,any,0
30,?,?,punc,SYM,-,-,-,-
31,?,?,punc,SYM,-,-,-,-
32,घर,घर,n,NN,m,sg,3,0_में
33,में,में,psp,PSP,-,-,-,-
34,सब,सब,pn,PRP,any,pl,any,0
35,ठीक,ठीक,adj,JJ,any,any,-,-
36,हैं,है,v,VM,any,pl,3,है
37,।,।,punc,SYM,-,-,-,-
38,।,।,punc,SYM,-,-,-,-
39,खटिया,खटिया,n,NN,f,sg,3,0_पर
40,पर,पर,psp,PSP,-,-,-,-
41,बैठ,बैठ,v,VM,any,sg,2,0
42,बैठ,बैठ,v,VM,any,sg,2,0
43,दूर,दूर,nst,NST,m,sg,3,-
44,क्यों,क्यों,pn,WQ,-,-,-,-
45,खड़ा,खडा,adj,JJ,m,sg,-,-
46,है,है,v,VM,any,sg,3,है
47,।,।,punc,SYM,-,-,-,-
48,।,।,punc,SYM,-,-,-,-
49,तू,तू,pn,PRP,any,sg,2,0
50,भी,भी,avy,RP,-,-,-,-
51,बूढा,बूढा,adj,JJ,m,sg,-,-
52,हो,हो,v,VM,any,sg,any,0_जा+या1
53,गया,जा,v,VAUX,m,sg,any,या1
54,।,।,punc,SYM,-,-,-,-
55,।,।,punc,SYM,-,-,-,-
56,तुझे,तू,pn,PRP,any,sg,2,को
57,मैंने,मैं,pn,PRP,any,sg,1,ने
58,गोद,गोद,n,NN,f,sg,3,0_में
59,में,में,psp,PSP,-,-,-,-
60,खेलाया,खेला,v,VM,any,sg,1,या_है
61,है,है,v,VAUX,any,sg,1,है
62,।,।,punc,SYM,-,-,-,-
63,।,।,punc,SYM,-,-,-,-
64,राजा,राजा,n,NNC,m,sg,3,0
65,-,-,punc,SYM,-,-,-,-
66,महाराजाओं,महाराजा,n,NN,m,pl,3,0_का
67,के,का,psp,PSP,m,pl,-,-
68,नाम,नाम,n,NN,m,pl,3,0
69,मिट,मिट,v,VM,any,pl,any,0_जा+या1
70,गये,जा,v,VAUX,m,pl,any,या1
71,।,।,punc,SYM,-,-,-,-
72,।,।,punc,SYM,-,-,-,-
73,मैं,मैं,pn,PRP,any,sg,1,0
74,तो,तो,avy,RP,-,-,-,-
75,अदना,अदना,adj,JJ,m,sg,-,-
76,सा,सा,avy,RP,m,sg,-,-
77,इंसान,इंसान,n,NN,m,sg,3,0
78,हूं,है,v,VM,any,sg,1,है
79,।,।,punc,SYM,-,-,-,-
80,।,।,punc,SYM,-,-,-,-
81,परमात्मा,परमात्मा,n,NN,m,sg,3,0_का
82,की,का,psp,PSP,f,sg,-,-
83,कृपा,कृपा,n,NN,f,sg,3,0
84,है,है,v,VM,any,sg,3,है
85,।,।,punc,SYM,-,-,-,-
86,।,।,punc,SYM,-,-,-,-
87,तुम,तुम,pn,PRP,any,sg,2,0
88,बताओ,बता,v,VM,any,sg,2,ओ
89,भीखनरायन,भीखनरायन,n,NNP,m,sg,3,0
90,भईया,भईया,n,NN,m,sg,3,0
91,कैसे,कैसे,pn,WQ,-,-,-,-
92,आना,आ,v,VM,any,sg,any,ना_हो+या
93,हुआ,हो,v,VAUX,m,sg,any,या
94,मुद्दतो,मुद्दत,n,NN,f,pl,3,0_बाद
95,बाद,बाद,nst,NST,m,sg,3,-
96,।,।,punc,SYM,-,-,-,-
97,।,।,punc,SYM,-,-,-,-
