पालगी,पालगी,n,NN,m,sg,3,0
भईया,भईया,n,NN,m,sg,3,0
कहते,कह,v,VM,m,sg,any,ता_हो+या
हुए,हो,v,VAUX,m,sg,any,या
धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0
पांव,पाँव,n,NN,m,pl,3,0
छूआ,छू,v,VM,m,sg,3,या
और,और,avy,CC,-,-,-,-
सामने,सामने,nst,NST,m,sg,3,-
खड़े,खडा,adj,JJ,m,sg,-,-
होकर,हो,v,VM,any,any,any,कर
भीखनरायन,भीखनरायन,n,NNP,m,sg,3,0_का
की,का,psp,PSP,f,sg,-,-
दीन,दीन,adj,NNC,any,any,-,-
-,-,punc,SYM,-,-,-,-
दशा,दशा,n,NN,f,sg,3,0_को
को,को,psp,PSP,-,-,-,-
चकित,चकित,adj,JJ,any,any,-,-
होकर,हो,v,VM,any,any,any,कर
निहारने,निहार,v,VM,any,sg,any,ना_लगा+या
लगा,लगा,v,VAUX,m,sg,any,या
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
खुस,खुस,adj,JJ,any,any,-,-
रह,रह,v,VM,any,sg,2,0
धूलीचन्द,धूलीचन्द,n,NNP,m,sg,3,0
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
कैसे,कैसा,pn,WQ,-,-,-,-
हो,है,v,VM,any,any,any,0
?,?,punc,SYM,-,-,-,-
?,?,punc,SYM,-,-,-,-
घर,घर,n,NN,m,sg,3,0_में
में,में,psp,PSP,-,-,-,-
सब,सब,pn,PRP,any,pl,any,0
ठीक,ठीक,adj,JJ,any,any,-,-
हैं,है,v,VM,any,pl,3,है
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
खटिया,खटिया,n,NN,f,sg,3,0_पर
पर,पर,psp,PSP,-,-,-,-
बैठ,बैठ,v,VM,any,sg,2,0
NULL,NULL,avy,CC,-,-,-,-
दूर,दूर,nst,NST,m,sg,3,-
क्यों,क्यों,pn,WQ,-,-,-,-
खड़ा,खडा,adj,JJ,m,sg,-,-
है,है,v,VM,any,sg,3,है
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
तू,तू,pn,PRP,any,sg,2,0
भी,भी,avy,RP,-,-,-,-
बूढा,बूढा,adj,JJ,m,sg,-,-
हो,हो,v,VM,any,sg,any,0_जा+या1
गया,जा,v,VAUX,m,sg,any,या1
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
तुझे,तू,pn,PRP,any,sg,2,को
मैंने,मैं,pn,PRP,any,sg,1,ने
गोद,गोद,n,NN,f,sg,3,0_में
में,में,psp,PSP,-,-,-,-
खेलाया,खेला,v,VM,any,sg,1,या_है
है,है,v,VAUX,any,sg,1,है
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
राजा,राजा,n,NNC,m,sg,3,0
-,-,punc,SYM,-,-,-,-
महाराजाओं,महाराजा,n,NN,m,pl,3,0_का
के,का,psp,PSP,m,pl,-,-
नाम,नाम,n,NN,m,pl,3,0
मिट,मिट,v,VM,any,pl,any,0_जा+या1
गये,जा,v,VAUX,m,pl,any,या1
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
मैं,मैं,pn,PRP,any,sg,1,0
तो,तो,avy,RP,-,-,-,-
अदना,अदना,adj,JJ,m,sg,-,-
सा,सा,avy,RP,m,sg,-,-
इंसान,इंसान,n,NN,m,sg,3,0
हूं,है,v,VM,any,sg,1,है
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
परमात्मा,परमात्मा,n,NN,m,sg,3,0_का
की,का,psp,PSP,f,sg,-,-
कृपा,कृपा,n,NN,f,sg,3,0
है,है,v,VM,any,sg,3,है
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
तुम,तुम,pn,PRP,any,sg,2,0
बताओ,बता,v,VM,any,sg,2,ओ
भीखनरायन,भीखनरायन,n,NNP,m,sg,3,0
भईया,भईया,n,NN,m,sg,3,0
कैसे,कैसे,pn,WQ,-,-,-,-
आना,आ,v,VM,any,sg,any,ना_हो+या
हुआ,हो,v,VAUX,m,sg,any,या
मुद्दतो,मुद्दत,n,NN,f,pl,3,0_बाद
बाद,बाद,nst,NST,m,sg,3,-
।,।,punc,SYM,-,-,-,-
।,।,punc,SYM,-,-,-,-
रिटायरमेण्ट,रिटायरमेण्ट,n,NN,m,sg,3,0
कैसा,कैसा,pn,WQ,m,sg,3,-
कट,कट,v,VM,m,sg,3,0_रह+या_है
रहा,रह,v,VAUX,m,sg,any,या
है,है,v,VAUX,any,sg,3,है
दमादों,दमाद,n,NN,m,pl,3,0_के_साथ
के,के,psp,PSP,-,-,-,-
साथ,साथ,nst,NST,m,sg,3,-
